geo_key,latitude,longitude
"Shilaj,Ahmedabad, Guntur, Andhra Pradesh, India",23.0544372,72.4720756
"Vastral,Ahmedabad, Guntur, Andhra Pradesh, India",22.9948656,72.6624431
"Tragad,Ahmedabad, Guntur, Andhra Pradesh, India",23.1283467,72.558657
"Ravet,Pune, Guntur, Andhra Pradesh, India",18.643269,73.7450557
"Jodhpur Park,Kolkata, Guntur, Andhra Pradesh, India",22.5056055,88.363674
"Nikol,Ahmedabad, Guntur, Andhra Pradesh, India",23.0589329,72.6718737
"Gandhinagar Road,Ahmedabad, Guntur, Andhra Pradesh, India",23.0229473,72.5064761
"Paschim Putiary,Kolkata, Guntur, Andhra Pradesh, India",22.4803617,88.3377899
"Lalbaug,Vadodara, Guntur, Andhra Pradesh, India",22.2825479,73.1992909
"Andheri East,Mumbai, Guntur, Andhra Pradesh, India",19.1158835,72.854202
"Ballygunge Place,Kolkata, Guntur, Andhra Pradesh, India",22.5276506,88.3673772
"Bondel Road,Kolkata, Guntur, Andhra Pradesh, India",22.5291122,88.3695843
"Ambegaon,Pune, Guntur, Andhra Pradesh, India",19.0316936,73.9500301
"Sanand,Ahmedabad, Guntur, Andhra Pradesh, India",23.0238876,72.3851475
"Tiljala,Kolkata, Guntur, Andhra Pradesh, India",22.5360688,88.3720085
"Jatin Das Road,Kolkata, Guntur, Andhra Pradesh, India",22.5171569,88.35661
"Ballygunge,Kolkata, Guntur, Andhra Pradesh, India",22.5280337,88.3659084
"Kukatpally,Hyderabad, Guntur, Andhra Pradesh, India",17.4930841,78.4054408
"Jaitala,Nagpur, Guntur, Andhra Pradesh, India",21.1198761,79.0384201
"Boyapalem,Guntur, Guntur, Andhra Pradesh, India",,
"Nidumukkala,Guntur, Guntur, Andhra Pradesh, India",16.4427045,80.4099018
"Kharghar,Navi Mumbai, Guntur, Andhra Pradesh, India",19.025773,73.0591845
"Hazra,Kolkata, Guntur, Andhra Pradesh, India",22.5227232,88.3499241
