address,lat,lon
"Gudavalli,Vijayawada, India",16.5094182,80.7498266
"Kaza,Guntur, India",16.3890935,80.5405569
"Amaravathi,Guntur, India",16.4804399,80.5443811
"Bannerghatta Road,Bangalore, India",12.9490578,77.6028779
"Gorantla,Guntur, India",16.3430975,80.4410948
"Kundalahalli,Bangalore, India",12.977594,77.7155586
"HAL Stage 2,Bangalore, India",12.9715338,77.6497819
"Mahatma Gandhi Road,Bangalore, India",12.9755264,77.6067902
"Sainikpuri,Hyderabad, India",17.4892154,78.5424889
"Taloja,Navi Mumbai, India",19.0837812,73.0896844
"Pattabhipuram,Guntur, India",16.3113655,80.4139149
"Alkapuri,Hyderabad, India",17.3662342,78.5549781
"Madinaguda,Hyderabad, India",17.4917948,78.342306
"Sagar Nagar,Visakhapatnam, India",17.7671495,83.3580536
"Undri,Pune, India",18.4516318,73.8927348
"Dronagiri,Navi Mumbai, India",,
"Balapur,Hyderabad, India",17.3090714,78.502772
"Shirur,Pune, India",18.7610989,74.209529
"Nadargul,Hyderabad, India",17.3055481,78.5614916
"Syamalla Nagar,Guntur, India",,
"Pragathi Nagar,Hyderabad, India",17.5200154,78.3968876
"Peda Palakaluru,Guntur, India",16.3323895,80.3797957
"Jijai Nagar,Pune, India",18.4544079,73.824805
"JKC College Road,Guntur, India",,
"Chuttu Gunta,Guntur, India",,
"Tadikonda,Guntur, India",16.4183389,80.4546278
"Electronic City,Bangalore, India",12.8487599,77.648253
"Chikhali,Pune, India",18.6642449,73.8266835
"Begur Road,Bangalore, India",12.8745738,77.6254592
"Ameenpur,Hyderabad, India",17.5236905,78.3317297
"Thambu Chetty Palya,Bangalore, India",,
"KR Puram,Bangalore, India",13.007516,77.695935
"Habsiguda,Hyderabad, India",17.4154761,78.5426918
"C V Raman Nagar,Bangalore, India",12.9856478,77.6649767
"Uppal,Hyderabad, India",17.4025091,78.5612562
"Indira Nagar,Bangalore, India",12.9732913,77.6404672
"Tenali,Guntur, India",16.2377735,80.6464219
"NH-5,Guntur, India",16.2915189,80.4541588
"Atchutapuram,Visakhapatnam, India",17.5603184,82.9774949
"Mangalagiri,Vijayawada, India",16.4510075,80.543647
"Kanchikacherla,Vijayawada, India",,
"Bhavanipuram,Vijayawada, India",16.5261449,80.5930924
"Chilakaluripet,Guntur, India",16.2906071,80.4247742
"Mangalagiri,Guntur, India",16.4318209,80.5688069
"Ibrahimpatnam,Vijayawada, India",16.5830507,80.5486512
"Payakapuram,Vijayawada, India",16.5489197,80.6496014
"Vidhya Nagar,Guntur, India",15.9155248,80.4825272
"Shankarpalle Rangareddy,Hyderabad, India",,
"Srinagar Colony,Guntur, India",16.3099336,80.4402919
"APHB Colony,Guntur, India",16.298827,80.4061494
"Mamidala Padu,Kurnool, India",,
"Bibinagar,Hyderabad, India",,
"Ankushapur,Hyderabad, India",,
"Adibatla,Hyderabad, India",,
"Atmakur,Kurnool, India",,
"Municipal Quarters,Machilipatnam, India",,
"Tada,Nellore, India",,
"Deevancheru,Rajahmundry, India",,
"Anandapuram,Visakhapatnam, India",17.9038926,83.3704973
"Ayinada,Visakhapatnam, India",18.045436,83.3974039
"Bhogapuram,Visakhapatnam, India",,
"Chelluru,Vizianagaram, India",18.0571417,83.3971313
"Kothavalasa,Visakhapatnam, India",17.8992664,83.2568241
"Jami,Vizianagaram, India",18.0517982,83.2629541
"Madhurawada,Visakhapatnam, India",17.8102465,83.3540167
"Shankarpalli Road,Hyderabad, India",,
"Diwancheruvu,Rajahmundry, India",17.0456404,81.8196171
"Jonnada,Vizianagaram, India",18.0265966,83.4061689
"Peddapuram,East Godavari, India",17.0988507,81.5715054
"Sangareddy,Hyderabad, India",17.5277951,78.267446
"Rajapulova,Visakhapatnam, India",,
"Nagole,Hyderabad, India",17.3775306,78.5601231
"Bommuru,Rajahmundry, India",16.9756177,81.788431
"Alcot Gardens,Rajahmundry, India",,
"Rajanagaram,Rajahmundry, India",17.027867,81.8168338
"Kilpauk,Chennai, India",13.0832149,80.2379864
"Srirampuram Road,Rajahmundry, India",,
"Gannavaram,Vijayawada, India",16.5133305,80.7076296
"Tiruchanoor,Tirupati, India",,
"Kelambakkam,Chennai, India",12.8012825,80.1991871
