city,state,country,builder_name,project_name,location_text,status,budget_raw,latitude,longitude,project_type,source,geo_key
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Meadows,"NH 8,Jaipur",ongoing,,26.9154576,75.8189817,,magicbricks,"NH 8,Jaipur, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Boulder Hills,"Gachibowli,Hyderabad",ongoing,,17.4436222,78.3519638,,magicbricks,"Gachibowli,Hyderabad, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Shivgram Residency,"Kalarahanga,Bhubaneswar",ongoing,,,,,magicbricks,"Kalarahanga,Bhubaneswar, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Business District 89,"Sector 89,Gurgaon",ongoing,,28.4184455,76.9457567,,magicbricks,"Sector 89,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Gurgaon Greens,"Sector 102,Gurgaon",completed,₹1.90 Cr   -₹3.84 Cr,28.4754872,76.9711747,"Penthouse, Multistorey Apartment..",magicbricks,"Sector 102,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Imperial Gardens,"Sector 102,Gurgaon",completed,₹2.41 Cr   -₹2.45 Cr,28.4754872,76.9711747,Multistorey Apartment..,magicbricks,"Sector 102,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Hills,"Sector 65,Gurgaon",completed,₹3.49 Cr   -₹7.29 Cr,28.4030162,77.0695893,Builder Floor Apartment..,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Estate,"Sector 65,Gurgaon",completed,₹1.82 Cr   -₹2.50 Cr,28.4030162,77.0695893,Multistorey Apartment..,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Garden,"Sector 83,Gurgaon",completed,₹2.30 Cr   -₹5.01 Cr,28.3981087,76.9732873,Multistorey Apartment..,magicbricks,"Sector 83,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Hills,"Sector 77,Gurgaon",completed,₹1.79 Cr   -₹2.41 Cr,28.3832337,76.982557,Multistorey Apartment..,magicbricks,"Sector 77,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mgf Emerald Floors,"Sector 65,Gurgaon",completed,₹2.50 Cr   -₹3.20 Cr,28.4030162,77.0695893,Builder Floor Apartment..,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Heights,"Sector 77,Gurgaon",completed,₹2.68 Cr   -₹2.72 Cr,28.3832337,76.982557,Multistorey Apartment..,magicbricks,"Sector 77,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Floors Premier,"Sector 65,Gurgaon",completed,₹2.90 Cr   -₹3.10 Cr,28.4030162,77.0695893,Builder Floor Apartment..,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Palm Drive,"Sector 66,Gurgaon",completed,₹3.84 Cr   -₹8.20 Cr,28.3974292,77.0538823,Multistorey Apartment..,magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Marbella,"Sector 66,Gurgaon",completed,₹15.04 Cr   -₹21.79 Cr,28.3974292,77.0538823,Villa..,magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Palm Terraces Select,"Sector 66,Gurgaon",completed,₹4.34 Cr   -₹6.62 Cr,28.3974292,77.0538823,"4 BHK 
										..",magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF Metropolis,"Mehrauli Gurgaon Road,Gurgaon",completed,₹2.10 Cr   -₹2.35 Cr,28.4822608,77.0948909,Commercial Office Space..,magicbricks,"Mehrauli Gurgaon Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emmar Mohali Hills Exclusive Plots,"Sector 105 Emaar MGF,Mohali",completed,₹2.15 Cr   -₹2.60 Cr,,,Residential Plot..,magicbricks,"Sector 105 Emaar MGF,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar MGF The Enclave,"Sector 66,Gurgaon",completed,₹2.61 Cr   -₹3.53 Cr,28.3974292,77.0538823,"3, 4 BHK 
										..",magicbricks,"Sector 66,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar The Palm Springs,"Golf Course Road,Gurgaon",completed,₹20.54 Cr   -₹49.35 Cr,28.4677319,77.0942263,"3, 4, 5 BHK 
										..",magicbricks,"Golf Course Road,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Emerald Plaza,"Sector 65,Gurgaon",completed,,28.4030162,77.0695893,,magicbricks,"Sector 65,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Digi Homes,"Sector 62,Gurgaon",completed,₹3.50 Cr   -₹6 Cr,28.407697,77.0823781,"2, 3 BHK 
										..",magicbricks,"Sector 62,Gurgaon, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hills,"Sector 109,Mohali",completed,,30.6574063,76.6723823,"4, 7, > 10 BHK 
										..",magicbricks,"Sector 109,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Mohali Hills Plot,"Sector 108,Mohali",completed,₹2.95 Cr Onwards,30.6498933,76.6787338,Residential Plot..,magicbricks,"Sector 108,Mohali, Port Blair, Andaman and Nicobar Islands, India"
Port Blair,Andaman and Nicobar Islands,India,Emaar India,Emaar Gomti Greens,"Gomtinagar Extension,Lucknow",completed,₹2.29 Cr   -₹11.34 Cr,,,"1, 3, 5 BHK 
										..",magicbricks,"Gomtinagar Extension,Lucknow, Port Blair, Andaman and Nicobar Islands, India"
